Sequencial; Receitas
10000000264; 11000
10000000761; 321400
10000000762; 113500
20000000544; Sem lancamento
20000000562; 600
20000000582; Sem lancamento
30000000567; 1300
30000000568; 1300
30000000569; Sem lancamento
30000000570; Sem prestacao
30000000583; Sem lancamento
30000000584; 900
30000000585; Sem prestacao
30000000587; Sem prestacao
30000000588; Sem prestacao
40000001181; 450
40000001182; Sem prestacao
40000001202; 3681.81
40000001203; 11600
50000001126; 10224
50000001145; 3124
50000001153; Sem lancamento
50000001155; Sem lancamento
50000001157; Sem prestacao
50000001158; Sem prestacao
50000001159; 4000
50000001160; 5050
50000001162; Sem prestacao
50000001163; Sem prestacao
50000001164; Sem lancamento
50000001167; Sem lancamento
50000001168; Sem lancamento
50000001169; Sem lancamento
50000001170; Sem prestacao
50000001178; Sem lancamento
50000001179; Sem lancamento
50000001203; 4000
50000001244; Sem lancamento
60000001049; 50
60000001051; 3750
60000001052; Sem prestacao
60000001053; Sem lancamento
60000001055; Sem prestacao
60000001056; Sem lancamento
60000001057; Sem prestacao
60000001058; 221906.12
60000001059; 1200
60000001060; 1448
60000001061; Sem lancamento
70000001421; 1543.4
70000001481; Sem prestacao
70000001482; Sem prestacao
70000001483; 2500
70000001484; 587000
70000001486; 4626.37
70000001487; 4042.37
70000001503; 1231.05
70000001561; Sem lancamento
70000001562; Sem prestacao
70000001563; Sem lancamento
80000000850; 9713.75
80000000882; 72373.01
90000001261; Sem lancamento
90000001287; 39526.72
90000001289; Sem lancamento
90000001290; Sem lancamento
90000001291; 6812.5
90000001292; 7844
90000001293; Sem prestacao
90000001295; 11540.4
90000001296; Sem lancamento
90000001297; Sem lancamento
90000001301; 118180.78
90000001302; Sem prestacao
90000001303; Sem prestacao
90000001312; Sem lancamento
90000001313; Sem prestacao
90000001315; Sem lancamento
90000001316; Sem lancamento
100000001069; Sem lancamento
100000001070; Sem lancamento
100000001071; Sem lancamento
100000001073; Sem lancamento
100000001075; Sem prestacao
100000001076; Sem lancamento
100000001077; Sem prestacao
100000001082; Sem lancamento
100000001084; 700
100000001088; 1500
100000001089; Sem prestacao
100000001090; 1500
100000001091; Sem prestacao
100000001093; 1500
100000001095; 1500
100000001096; Sem prestacao
100000001129; 348083
100000001149; Sem prestacao
110000000521; 24468.13
110000000522; 23502.91
110000000523; 23793.13
110000000541; 3860361.98
110000000543; 2400
110000000544; 76614
110000000546; 13323.08
110000000549; 1729730.8
120000000677; 2300
120000000678; Sem prestacao
120000000679; Sem prestacao
120000000680; Sem prestacao
120000000682; Sem prestacao
120000000683; Sem prestacao
120000000684; 4304.6
130000001990; 102.5
130000001991; 480
130000001992; 480
130000001993; 16050
130000001994; Sem lancamento
130000001995; 150
130000001996; 300
130000001997; 400
130000001998; 480
130000001999; Sem prestacao
130000002000; Sem prestacao
130000002001; Sem prestacao
130000002002; Sem prestacao
130000002004; Sem prestacao
130000002005; 27300
130000002006; 1300
130000002007; Sem lancamento
130000002008; 3395427.85
130000002009; 400
130000002010; 10400
130000002011; 10400
130000002013; 6326.5
130000002014; 6973.7
130000002015; Sem lancamento
130000002016; 6326.5
130000002017; Sem prestacao
130000002019; 6326.5
130000002020; Sem lancamento
130000002021; 6405.02
130000002022; Sem prestacao
130000002025; 1650
130000002026; Sem lancamento
130000002030; 2296.07
130000002031; 3121.07
130000002033; 350
130000002036; 1069.25
130000002052; 300
130000002053; 1102.5
130000002070; Sem prestacao
130000002110; 550
140000001241; Sem lancamento
140000001242; Sem lancamento
140000001441; 530
140000001442; 600
