Sequencial; Receitas; Despesas
20000000414; Sem lancamento; -
190000001205; Sem lancamento; 1965
190000002250; Sem prestacao; Sem prestacao
190000001087; 5416.83; 5416.83
270000000094; 1500; 1500
240000000534; 41630; 41630
240000000466; Sem lancamento; -
120000000120; 74450; 74450
30000000342; 6199; 6187.4
90000000617; Sem lancamento; -
130000001241; 1125; 1125
160000001103; 2616.64; 2616.64
40000000553; 20089.27; 20065.37
40000000537; 256442.68; 348442.68
190000001455; 1448; 1448
190000001315; 14250; 14200
270000000092; 50293.5; 50293.5
130000001636; 312.5; 312.5
60000000638; 19807.51; 19807.51
130000001332; 1350; 1350
60000000246; 1118282.48; 1076818.64
190000002727; 202.5; 717.5
220000000517; Sem lancamento; -
40000001061; 655; 655
80000000630; 1494.26; 1009.26
130000000935; Sem prestacao; Sem prestacao
50000000753; 647931.22; 647931.22
20000000309; 600; 600
190000000354; 42580; 42580
130000001809; 2296.07; 2296.07
150000000283; 180908.81; 180908.81
250000000107; 1200; 1168.4
100000000427; 228780; 228778.91
60000000655; 880659.15; 879635.03
170000000258; 5482.8; 5482.8
250000000574; 806694.07; 805189.35
100000000665; 1907.04; 1907.04
190000000317; 16490; 16485.34
190000000771; Sem lancamento; -
190000000736; 5732; 5732
50000000552; 1234; 1234
160000000600; 15269.64; 15269.64
40000000588; 6716.45; 6716.45
250000001311; 5489.99; 5489.99
250000000489; 4485.87; 4485.87
250000003019; Sem prestacao; Sem prestacao
140000000671; 83876.55; 83837.92
190000000469; 2900; 2900
210000000417; 1000; 1000
70000000073; 86394; 86394
270000000035; 19760.5; 19760.5
250000001859; 764.72; 764.72
250000000485; 118054.42; 118054.48
250000003695; 10394.5; 10394.5
250000001463; 1279426.96; 1279271.14
250000001681; 1994.6; 1990.15
250000000067; 100641.02; 100641.02
190000000783; Sem lancamento; -
80000000145; 35015.65; 34972.55
80000000732; 1467.26; 967.26
190000002279; 1805; -
250000004186; 3724; 3724
130000001807; 88912.47; 88614.55
250000003944; Sem lancamento; -
220000000047; 5000; 4930.5
160000001140; 2135; 2770
200000000363; 562415; 562415
100000000230; 54517.16; 54515.11
70000000742; 4183.32; 7403.32
250000002923; 593; 593
220000000194; 160115.54; 160115.54
30000000378; 1180; 1180
250000002869; 312.5; 312.5
130000000418; 6427.2; 6427.2
80000000521; 4101.26; 4101.26
190000002059; 320360; 320293.75
160000001175; Sem lancamento; -
170000000768; Sem lancamento; -
110000000441; 22336.72; 22336.72
190000003066; 4645; 4604.59
250000002146; 553154.78; 553133.76
250000001795; 7888.67; 7877.61
70000001027; 5949.75; 5904.4
70000001110; 37219.58; 37192.18
130000000734; 8750; 8750
250000001858; 4073.52; 4073.52
130000000023; 5104.4; 5104.4
100000000795; 12927.4; 12927.4
60000000315; 101761.4; 101761.4
190000001858; 553820; 1168622.13
250000000284; 608; 608
140000000526; 12795; 14795
160000000663; 3347.64; 3347.64
120000000454; 6283.8; 6283.8
140000000927; 7230; 7162
80000000070; 4811.25; 4801.85
120000000329; 133810.47; 209834.77
90000000338; 88668.63; 88631.96
70000001224; Sem prestacao; Sem prestacao
20000000115; 107815.16; 107781.61
210000000869; 2039.9; 2039.9
70000000090; 100760.45; 100751.3
50000000551; 149074.63; 149074.63
10000000224; 31442.89; 31442.89
130000001280; 318158.38; 318158.38
210000000289; 33397; 33391.31
200000000075; 5000; 5000
140000000052; 3210; 3210
